NPRID,NAME,FACILITY,FACILITY_TYPE,ADDRESS,CITY,STATE,ZIP,HARD ADDRESS,LATITUDE,LONGITUDE,Agency,AgencyType,OWNER,OWNER_TYPE,REMARKS,PubRermarks,url,Entry,Source,Cost,Duplicate,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance,GEOCODE-ERROR
181,Can-Do Playground,Alapocas Run State Park,,4631 Weldin Road,Wilminton,DE,19803,"4631 Weldin Road Wilminton, DE 19803",38.8980949,-76.9796563,,,,Public/Private,"Can-Do Playground is designed as a 26,000 square foot childrensÕ playground and garden to provide play and adventure opportunities for children of all ages and abilities. Play apparatus physically challenge users of the playground, while the garden offers mazes, games and theme gardens to challenge the mind and visually enhance the park.http://www.candoplayground.org/what.php","The 26,000 square foot playground and garden to provide play and adventure opportunities for children of all ages and abilities. Play apparatus physically challenge users of the playground, while the garden offers mazes, games and theme gardens.",http://www.candoplayground.org/,Margot,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,All Children's Playground,Beech Acres Park,,6910 Salem Road,Cincinnati,OH,45320,"6910 Salem Road Cincinnati, OH 45320",38.8980949,-76.9796563,,,,Municipal/Local Government,"The Anderson Township Park District has created a playground at Beech Acres Park where all children, with and without disabilities, can play and learn together in a healthy recreational environment. This inclusive playground inspires both active and imaginative play. It has proven to be a hit with children of all ages and abilities since the playgroundÕs grand opening in 2007.

For children ages 0-5,  there is a Tot-lot complete with a train and train station. There are swings, a sand play area, and a playhouse.  There is also a mini-mountain, and an arched bridge with walking paths and shaded pergolas. Tying the river and village themes together is a unique surfacing.
For children ages 2-5 there is a unit featuring slides with a rock climbing component and a bridge. There are also bongos to enjoy making music with. For older children there are Sasquatch-tall climbing boulders and a massive fort-like play unit.  For everyone, regardless of age, there is a riverboat Shelter, a seasonal water play area, and a Sway¨ Fun.","There is a Tot-lot complete with a train and train station. There are swings, a sand play area,  a playhouse,  a mini-mountain, and an arched bridge with walking paths and shaded pergolas. For children ages 2-5 there are slides, rock climbing and bongo drum.s For older children there are  climbing boulders and a fort. Also, for all, a riverboat shelter,  seasonal water play area, and Sway Fun glider",,Margot,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
183,Every Child's Plaground,Sawyer Point,,801 East Pete Rose Way,Cincinnati,OH,45202,"801 East Pete Rose Way Cincinnati, OH 45202",38.8980949,-76.9796563,,,,Municipal/Local,"The playground is in the shape of an old fashioned riverboat. There are slides, swings, a music area and a special play village that allows not only physically disabled children to play, but includes children with cognitive disabilities as well.",,,Margot,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
184,The Arc,,,"1901 Mississippi Avenue, SE",Washington,DC,20020,"1901 Mississippi Avenue, SE Washington, DC 20020",38.8980949,-76.9796563,,,,,The playground was built by American Association of Orthopaedic Surgeons in partnership with KaBOOM!,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
185,Piedmont Park Mayors Grove,Piedmont Park,,400 Park Drive NE,Atlanta,GA,30306,"400 Park Drive NE Atlanta, GA 30306",38.8980949,-76.9796563,,,,,The Piedmont Park Conservancy has successfully transformed the once dilapidated Park into the most visited in green space in Atlanta. One of the playgrounds within the park is a Boundless Playground.,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,,Wesley Coan Park,,1530 Woodbine Ave SE,Atlanta,GA,30317,"1530 Woodbine Ave SE Atlanta, GA 30317",38.8980949,-76.9796563,,,,,This is a Boundless playground,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187,,Centennial Olympic Park,,285 Andrew Young International Boulevard,Atlanta,GA,30313,"285 Andrew Young International Boulevard Atlanta, GA 30313",38.8980949,-76.9796563,,,,,"The entire play space acts as a climber with its soft, rolling, boulder-like theme. Worked into this space is a PlayBooster¨ playstructure complete with slides, crawl tunnels, play panels and lots of other sensory-stimulating activities. The playground was done by Landscape Structures and PlayFitness.","The entire play space acts as a climber with its soft, rolling, boulder-like theme. Worked into this space is a playstructure complete with slides, crawl tunnels, play panels and lots of other sensory-stimulating activities.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
188,,Stoner Recreation Center Playground,,1835 Stoner Avenue,West Los Angeles,CA,90025,"1835 Stoner Avenue West Los Angeles, CA 90025",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened 2008. Features include a resilient rubberized surface, mister sprays, swing sets, a Landscape Structures Inc PlayBooster¨ playstructure and ""cool topperÓ shades.  This is a ShaneÕs Inspiration Playground and the playground consultant was RecWest Outdoor Products.","The playground  includes a resilient rubberized surface, mister sprays, swing sets, a PlayBooster playstructure and ""cool topperÓ shades.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,,South Park Playground,,345 East 51st Street,Los Angeles,CA,90011,"345 East 51st Street Los Angeles, CA 90011",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened 2009. Features swing sets, interactive sensory panels, mister sprays, rubberized resilient surfacing landscaping, irrigation, benches, drinking fountain, and more. This is a ShaneÕs Inspiration Playground. The equipment is from Landscape Structures Inc and the playground consultant on this project was RecWest Outdoor Products.","The playground features swing sets, interactive sensory panels, mister sprays, rubberized resilient surfacing landscaping, irrigation, benches, drinking fountain, and more.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,,Civic Center Park,,5 Ashlawn Avenue,Oswego,IL,60543,"5 Ashlawn Avenue Oswego, IL 60543",38.8980949,-76.9796563,,,,,"An 8.8-acre park, next to the aquatic park, features an accessible playground with ramps and a poured-in-place rubberized surface. Adjacent to the playround, you'll find a picnic shelter with an outdoor grill for day-long fun. The playground includes 4 slides, 8 climbers, activity panels, and swings.","The accessible playgroundoffers ramps and a poured-in-place rubberized surface and includes 4 slides, 8 climbers, activity panels, and swings.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
190,,Ken Malloy Harbor Regional Park,,25820 Vermont Avenue,Harbor City,CA,90710,"25820 Vermont Avenue Harbor City, CA 90710",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,Opened 2009.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
191,,Benny H. Potter Memorial Park,,2413 Second Avenue,Los Angeles,CA,90018,"2413 Second Avenue Los Angeles, CA 90018",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened 2009. The playground features a Landscape StructureÕs PlayBooster play structure designed by ShaneÕs Inspiration. The play structure includes climbers, slides, overhead events,and play panels. There are CoolToppers shade structures help protect children from the warm California sun.  The playground consultant on this project was RecWest Outdoor Products.","The play structure includes climbers, slides, overhead events,and play panels.",http://www.laparks.org/dos/parks/facility/bennyHPotterPk.htm,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
192,,Maidu Regional Park,,1550 Maidu Drive,Roseville,CA,95661,"1550 Maidu Drive Roseville, CA 95661",38.8980949,-76.9796563,,,City of Roseville,Municipal,Opened 2009.,,http://www.roseville.ca.us/parks/parks_n_facilities/parks_in_roseville/maidu_regional_park.asp,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193,,Mahany Regional Park,,1545 Pleasant Grove Boulevard,Roseville,CA,95747,"1545 Pleasant Grove Boulevard Roseville, CA 95747",38.8980949,-76.9796563,,,City of Roseville,Municipal,Opened 2009.,,http://www.roseville.ca.us/parks/parks_n_facilities/parks_in_roseville/mahany_regional_park.asp,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194,Sycamore Grove Playground,,,4702 North Figueroa Street,Los Angeles,CA,90042,"4702 North Figueroa Street Los Angeles, CA 90042",38.8980949,-76.9796563,,,City of Los Angelese,Municipal,Opened 2010.,,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
195,Folsom Play for All,Folsom City Park,,403 Stafford Street,Folsom,CA,95630,"403 Stafford Street Folsom, CA 95630",38.8980949,-76.9796563,,,,,"Opened 2010.This play structure has a Wild West theme The play components are unique and fun. The playground includes play panels, ramps and poured-in-place safety surfacing. The playground equipment comes from Landscape Structures Inc and was built by Ross Recreation Equipment Company.","This play structure has a Wild West theme. The playground includes play panels, ramps and poured-in-place safety surfacing.",,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
196,,Memorial Park,,1605 East Pikes Peak Avenue,Colorado Springs,CO,80901,"1605 East Pikes Peak Avenue Colorado Springs, CO 80901",38.8980949,-76.9796563,,,,,Opened 2010.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,,Fairmont Park,,2681 Dexter Drive,Riverside,CA,95661,"2681 Dexter Drive Riverside, CA 95661",38.8980949,-76.9796563,,,,,Opened 2010.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
198,,Shadow Ranch Park,,22633 Vanowen Street,West Hills,CA,91307,"22633 Vanowen Street West Hills, CA 91307",38.8980949,-76.9796563,,,,,Opened 2010.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
199,Aidan's Place,,,1350 South Sepulveda Boulevard,Los Angeles,CA,90024,"1350 South Sepulveda Boulevard Los Angeles, CA 90024",38.8980949,-76.9796563,,,,,Opened 2010.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Unity Place,Bay Creek Park,,175 Ozora Road,Loganville,GA,30052,"175 Ozora Road Loganville, GA 30052",38.8980949,-76.9796563,,,Gwinnett County Government,Municipal/Local Government,"This playground won top honors in a national competition sponsored by the National Organization on Disability and the National Association of Counties. Playground facilities include raised sandboxes and mechanical diggers suitable for use by seated children. Thoughtfully designed swings and wide ramps make the playground suitable for children with and without special needs. In addition to a football field and seven baseball/softball fields, Bay Creek Park also features a special-needs ball field with a rubberized surface and large, level ""dugouts"" usable by wheelchairs.","Playground facilities include raised sandboxes and mechanical diggers for use by seated children. Thoughtfully designed swings and wide ramps make the playground suitable for children with and without special needs.  Bay Creek Park also features a special-needs ball field with a rubberized surface and large, level ""dugoutsÓ usable by wheelchairs.",http://www.gwinnettcounty.com/portal/gwinnett/Departments/CommunityServices/ParksandRecreation/OurParksandFacilities/GuidetoYourParks/BayCreekPark,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,,Country Garden Park,,901 North Schoenbeck Rosf,Prospect Heights,IL,60004,"901 North Schoenbeck Rosf Prospect Heights, IL 60004",,,,,,,"Country Gardens Park features a playground designed by Kompan, tennis courts, an outdoorbasketball court, soccer fields and a picnic shelter.",,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
200,,Glen Alla Park,,4601 Alla Road,Los Angeles,CA,90292,"4601 Alla Road Los Angeles, CA 90292",38.8980949,-76.9796563,,,,,"Opened 2010. This ShaneÓs Inspiration playground  has a nautical theme with tall, mast like umbrellas covering a boat decorated with a huge proud pelican at the bow. Wheelchair accessible ramps lead up into the hull where you can find a rotating rain gauge, musical knobs to turn, slides, stairs and ropes to climb down to the rubber coated flooring at ground level.  A black 20-foot, humpback whale sits in the giant sandpit and keeps a massive swimming turtle sculpture company.","The playground  has a nautical theme with tall, mast like umbrellas covering a boat decorated with a huge proud pelican at the bow. Wheelchair accessible ramps lead up into the hull where you can find a rotating rain gauge, musical knobs to turn, slides, stairs and ropes to climb down to the rubber coated flooring at ground level.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201,,Dearborn Park,,17141 Nordhoff Street,Northridge,CA,91325,"17141 Nordhoff Street Northridge, CA 91325",38.8980949,-76.9796563,,,,,"Opened 2011. This ShaneÕs Inspiration playground includes colorful, sensory-rich equipment such as musical instruments, buttons that emit sounds and chime panels, and swings or see-saws with high backs offer support.  Canopies over the structures donÕt just provide shade, but offer protection to those sensitive to heat or light because of medication. The equipment is from Landscape Structures and the playground consultant on this project was RecWest Outdoor Products.","The  playground includes colorful, sensory-rich equipment such as musical instruments, buttons that emit sounds and chime panels, and swings or see-saws with high backs offer support.  Canopies over the structures donÕt just provide shade, but offer protection to those sensitive to heat or light because of medication.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202,,Van Nuys - Sherman Oaks Park,,14201 Huston Street,Sherman Oaks,CA,91423,"14201 Huston Street Sherman Oaks, CA 91423",,,,,,,Opened 2011.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
203,Reese's Retreat,Brookside Park,,400 North Arroyo Boulevard,Pasadena,CA,91103,"400 North Arroyo Boulevard Pasadena, CA 91103",,,,,,,Opened 2011.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
204,,Children's Hospital of Los Angeles,,4650 Sunset Boulevard,Los Angeles,CA,90027,"4650 Sunset Boulevard Los Angeles, CA 90027",38.8980949,-76.9796563,,,,,Opened 2011.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205,,Westside Park,,2777 Clyde Avenue,Los Angeles,CA,90019,"2777 Clyde Avenue Los Angeles, CA 90019",38.8980949,-76.9796563,,,,,Opened 2011.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
206,,Fourth Avenue Park,,14105 Don Julian Road,La Puente,CA,91745,"14105 Don Julian Road La Puente, CA 91745",,,,,,,Opening in 2012. Formerly known as Avocado Heights Park.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
21,,McCarthy Park,,16801 South 80th Avenue,Tinley Park,IL,60477,"16801 South 80th Avenue Tinley Park, IL 60477",38.8980949,-76.9796563,,,,,"features ramps wide enough for passing wheelchairs that lead to slides, games and a Sway Fun seating area that rocks back and forth. Interactive elements like drums and a sensory panel with rolling marbles and a color wheel are designed to engage the senses. There is an adult wheelchair swing.","The playground features ramps wide enough for passing wheelchairs that lead to slides, games and a Sway Fun seating area that rocks back and forth. Interactive elements like drums and a sensory panel with rolling marbles and a color wheel are designed to engage the senses. There is an adult wheelchair swing.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
212,,Centennial Park,,1370 17th Avenue,Grafton,WI,53024,"1370 17th Avenue Grafton, WI 53024",38.8980949,-76.9796563,,,Village of Grafton,Municipal/Local Government,Centennial Park has a sidewalk leading up to the play area with a compacted surface leading to a ramp on the play equipment. (NPR),Centennial Park has a sidewalk leading up to the play area with a compacted surface leading to a ramp on the play equipment.,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
213,,North Berkeley Community Park,,Williams Street,Berkeley Springs,WV,25411,"Williams Street Berkeley Springs, WV 25411",38.8980949,-76.9796563,,,Morgan County Parks & Recreation,Municipal/Local Government,"North Berkeley Community Park is a joint project of Morgan County Parks & Recreation, the Berkeley Springs Rotary Club, Potomac Headwaters Research. Information pending.",,,R-TMFU,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,A Playground for Katie and Friends,Huguenot Park,,10901 Robious Road,Richmond,VA,23235,"10901 Robious Road Richmond, VA 23235",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
215,Hadley's Main Street USA Playground,Dulles Town Center,,21100 Dulles Town Circle,Dulles,VA,20166,"21100 Dulles Town Circle Dulles, VA 20166",38.8980949,-76.9796563,,,,,"This playground was built in keeping with a ""shopping theme,Ó and was built around Main Street USA, with everything from a  local bank to a post office.",,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
216,A Dream Come True Playground,Harrisonburg Park & Rec Park,,Neff Avenue,Harrisonburg,VA,22801,"Neff Avenue Harrisonburg, VA 22801",38.8980949,-76.9796563,,,Harrisonburg Parks & Rec Department,Municipal/Local Government,"Nine years in the making, the Dream Come True Playground is now open",,,Robert,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
217,Clemyjontri Playground,Clemyjontri Park,,6317 Georgetown Pike,McLean,VA,22101,"6317 Georgetown Pike McLean, VA 22101",38.8980949,-76.9796563,,,,,"The myriad of multi-colored components connected by wide ramps is just one aspect of Clemy playground.   Other parts that help distinguish it include a wheelchair-accessible drag strip with a multi-functional color tree using red, green and amber flashes to direct traffic and descending numbers to help direct those children who cannot separate colors; sensory-oriented parts such as spinning cups and voice-activated components; a moveable helicopter where wheelchairs can be attached; a flush mounted carousel; and a maze with multiple solutions that can be read by children who are visually impaired or are developmentally challenged.","The playground features multi-colored components connected by wide ramps, a wheelchair-accessible drag strip, sensory-oriented parts like spinning cups and voice-activated components; a moveable helicopter where wheelchairs can be attached; a flush mounted carousel; and a maze with multiple solutions.",,R-TMFU,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
218,,Clemyjontri Playground,,6317 Georgetown Pike,McLean,VA,22101,"6317 Georgetown Pike McLean, VA 22101",38.8980949,-76.9796563,,,,,"The myriad of multi-colored components connected by wide ramps is just one aspect of Clemy playground.   Other parts that help distinguish it include a wheelchair-accessible drag strip with a multi-functional color tree using red, green and amber flashes to direct traffic and descending numbers to help direct those children who cannot separate colors; sensory-oriented parts such as spinning cups and voice-activated components; a moveable helicopter where wheelchairs can be attached; a flush mounted carousel; and a maze with multiple solutions that can be read by children who are visually impaired or are developmentally challenged.",,,Robert,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
219,,Deer Park,,11532 Jefferson Avenue,Newport News,VA,23601,"11532 Jefferson Avenue Newport News, VA 23601",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Spraypark for Everyone,Danville Municipal Swimming Pool at Garfield Park,,1112 Industrial Drive,Danville,IL,61832,"1112 Industrial Drive Danville, IL 61832",38.8980949,-76.9796563,,,,,"An AMBUCS project is a zero-depth water play area accessible to all people, regardless of their ability.","A zero-depth water play area is accessible to all people, regardless of their ability.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
220,,Brandon Park,,878 Harrison Street SE,Leesburg,VA,20175,"878 Harrison Street SE Leesburg, VA 20175",38.8980949,-76.9796563,,,,,The park includes a trail that connects the street to the playground.,The park includes a trail that connects the street to the playground.,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
222,Playground for Everybody,Grommet Island Beach Park,,100 2nd Street,Virginia Beach,VA,23451,"100 2nd Street Virginia Beach, VA 23451",38.8980949,-76.9796563,,,,,"Surrounded by palm trees and a rubber play surface, a new play park on the Oceanfront features cameras where visitors can look out into the water and view surfers or dolphins.  It also has musical drums, a playground with monkey bars and slides, a boardwalk that leads out to the water and a sensory wall for the autistic and visually impaired.","Surrounded by palm trees and a rubber play surface,the park on the oceanfront features cameras where visitors can look out into the water and view surfers or dolphins.  It also has musical drums, a playground with monkey bars and slides, a boardwalk that leads out to the water and a sensory wall for the autistic and visually impaired.",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
223,My Place Playground,Williamsburg-James City County Comm. Ctr.,,5301 Longhill Road,Williamsburg,VA,23188,"5301 Longhill Road Williamsburg, VA 23188",38.8980949,-76.9796563,,,,,"This playground was created by the Leadership Historic Triangle class of 2009.  The playground includes swings, many different types of spinning and bouncing equipment, and musical drums.","The playground includes swings, many different types of spinning and bouncing equipment, and musical drums.",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
224,,,,,Winchester,VA,,,38.8980949,-76.9796563,,,,,,,,R-TMFU,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,Children's Dream,Jim Barnett Park,,1001 East Cork Street,Winchester,VA,22601,"1001 East Cork Street Winchester, VA 22601",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226,Rotary Playground,Freedom Park,,3105 North Downing Street,Angleton,TX,77515,"3105 North Downing Street Angleton, TX 77515",,,,,,,"The Playworld Systems playground includes climbing walls, slides, a rope bridge, two handicap-accessible swings, ground-level activities with wheelchair ramps and other attractions in a continuous, oval design.","The  playground includes climbing walls, slides, a rope bridge, two handicap-accessible swings, ground-level activities with wheelchair ramps and other attractions in a continuous, oval design.",,Robert,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
227,,Cottonwood Creek Park,,4501 North Story Road,Irving,TX,75038,"4501 North Story Road Irving, TX 75038",38.8980949,-76.9796563,,,,,Miracle League ball field and accessible playground that includes a custom built treehouse. This playground may have a combination of mulch and rubber surfacing.,Miracle League ball field and accessible playground that includes a custom built treehouse. This playground may have a combination of mulch and rubber surfacing.,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
228,AMBUCS Too Universally Accessible Playground,Spring Hill Park,,738 Fenton Road,Longview,TX,75604,"738 Fenton Road Longview, TX 75604",38.8980949,-76.9796563,,,,,"This Playworld Systems playground includes see-saws with supporting backs, swings, a ramped structure with overhead activities, a pretend play fire truck, climbing structures and much more.  The playground has lights so that you can play at anytime Spring Hill Park also has a splash pad.","This playground includes see-saws with supporting backs, swings, a ramped structure with overhead activities, a pretend play fire truck, climbing structures and a splash pad. The playground has lights so that you can play at any time.",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,Casey's Clubhouse,Dove Park,,1509 Hood Lane,Grapevine,TX,76051,"1509 Hood Lane Grapevine, TX 76051",,,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23,Playscape Playground,Karst Farm Park,,2450 South Endwright Road,Bloomington,IN,47403,"2450 South Endwright Road Bloomington, IN 47403",38.8980949,-76.9796563,,,,,"The first phases of this Playscape includes a water splash pad, a toddler playground, a ramped play unit for 5-12 year-olds, accessible sand tables and a shelter with accessible picnic areas.","The first phases of this Playscape includes a water splash pad, a toddler playground, a ramped play unit for 5-12 year-olds, accessible sand tables and a shelter with accessible picnic areas.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,Buddy Carruth Playground for All Children,,,6001 Fannin Street,Houston,TX,77030,"6001 Fannin Street Houston, TX 77030",,,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
231,Vale-Asche Foundation Playground,Memorial Park,,6501 Memorial Drive,Houston,TX,77007,"6501 Memorial Drive Houston, TX 77007",,,,,,,"With convenient parking at the Mayor Jim McConn Memorial Ballfields, the playground includes music, a Sway Fun, and tons of shade.","The playground includes music, a Sway Fun, and tons of shade.",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
232,,Eastwood Park,,5020 Harrisburg Blvd.,Houston,TX,77011,"5020 Harrisburg Blvd. Houston, TX 77011",38.8980949,-76.9796563,,,Houston Parks & Rec. Dept.,Municipal/Local Government,"The playground is a joint initiative between CVS Caremark, Boundless Playground, the Houston Parks and Recreation Department, and the Houston Parks Board.",,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233,Playground Without Limits,Alief Park,,11903 Bellaire Boulevard,Houston,TX,77072,"11903 Bellaire Boulevard Houston, TX 77072",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,Playground Wtihout Limits,Tidwell Park,,9720 Spaulding,Houston,TX,77016,"9720 Spaulding Houston, TX 77016",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,Playground Without Limits,Metropolitan Multi-Service Center,,1475 West Gray Street,Houston,TX,77019,"1475 West Gray Street Houston, TX 77019",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
236,,T.H. Rogers School,,5840 San Filipe Street,Houston,TX,77057,"5840 San Filipe Street Houston, TX 77057",38.8980949,-76.9796563,,,,,"A Landscape StructuresÕ PlayBooster¨ playstructure utilizes an extensive ramping system to bring everyone to the center of the action, and includes a Sway Fun¨ glider, reach play panels, Gemini SlideWinder2ª, overhead events and more. CoolToppers¨ shade structures help protect kids from the harmful UV rays. The playground consultant for this playground was Lone Star Recreation.","The playstructure utilizes an extensive ramping system to bring everyone to the center of the action, and includes a Sway Fun glider, reach play panels, slides and  overhead events.",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
237,,Lindsay/Lyons Park,,2310 Atascocita Road,Humble,TX,77396,"2310 Atascocita Road Humble, TX 77396",38.8980949,-76.9796563,,,,,"Lindsay/Lyons Park and Sports Complex is a 136-acre facility with two playgrounds one of which is all-inclusive, accessible restroom facilities, paved walking trail around the playground, a sensory garden for sight-impaired children and lighted and unlighted playing fields. Also includes a barbecue pavilion, picnic tables and grills.","the playground includes a, paved walking trail around the playground, and a sensory garden for sight-impaired children",,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
238,,Foster Elementary School,,1800 Trailwood Village Drive,Kingwood,TX,77339,"1800 Trailwood Village Drive Kingwood, TX 77339",38.8980949,-76.9796563,,,,,,,,Robert,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
